0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
etwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heil,hell,huel,heili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erot,eredd,ärde,orde,ächt,artie,artig,eredt,eert,erden,uecht,erdi,ehrt,erad,ered,ächti,ärte,ehrte,erat,erade,ucht,arti,öchte,orte,orden,erte,ürdi,ierte,ardo,öcht,,,,,,,,,,,,,,,,,,,,,,,,
fait,ffet,fent,ftig,ffent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
üssg,üssge,aasc,iehsc,ehsc,aisc,eesc,üsge,usge,uesc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chenk,chung,gung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gscht,c’est,c'est,gsto,gust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
achs,echs,ochs,echer,osch,echen,eich,äisch,ichs,eche,usch,esche,ische,esch,escha,ösch,asche,ischi,ejch,eschi,isch',ehsch,isch’,eiche,uesch,ichi,uschu,aisch,ichen,aasch,achse,äsch,eesch,üsch,ächs,iche,icher,,,,,,,,,,,,,,,,,
tress,tres,drüs,tters,teres,ters,drüss,trez,dders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
